package_name,review,date,star,Clusters
com.mantz_it.rfanalyzer,The real deal Outstanding,January 25 2015,5,1
com.mantz_it.rfanalyzer,Good Good,February 22 2016,5,1
com.mantz_it.rfanalyzer,Not working Not working at oppo. Saying source not available for hr,November 23 2016,1,1
com.mantz_it.rfanalyzer,The app looks good but does not work so far with lenovo a936 kitkat. the sdr might draw to much current. Tried a spit cable for extra power but it did not help so far.,January 31 2016,4,2
com.mantz_it.rfanalyzer,Great little analyzer and demodulator!,February 05 2015,5,2
com.mantz_it.rfanalyzer,A God send! Awful interference problem with my 868MHz central heating system. 20min with this app and an rtlsdr dongle tracked the problem to an old controller with a near flat battery transmitting a continuous unmodulated carrier.,January 09 2016,5,2
com.mantz_it.rfanalyzer,Very useful Works as shown,March 24 2015,5,2
com.mantz_it.rfanalyzer,Samsung note 3 neo ok,October 15 2015,5,2
com.mantz_it.rfanalyzer,Really cool gadget for RF engineers Restarts driver when changing orientation. Please fix that. Additionally would like to have MUTE button alongside with other buttons. Another issue is: let user choose whether he/she wants kHz  MHz or GHz when entering freq. Thanks in advance!,March 28 2015,5,2
com.mantz_it.rfanalyzer,Great application Work's well with my ZenFone 5,October 03 2015,5,2
com.mantz_it.rfanalyzer,Very nice. Great UI  works like a charm. If you have an NVIDIA shield  try spamming the connect/play button.,September 25 2015,5,2
com.mantz_it.rfanalyzer,Great App - Snags with Kitkat Worked fine on Jellybean but started throwing snags after upgrade. Will try logging and send it to the Author...,March 30 2015,4,2
com.mantz_it.rfanalyzer,How do I change sample on the app rate I am using a remote server,April 08 2015,3,2
com.mantz_it.rfanalyzer,Works great. Thanks!,April 25 2015,5,2
com.mantz_it.rfanalyzer,Works well but would like added features The main additional feature I would like is a way to be able to adjust the spec an amplitude reference so that I can calibrate it to dBm.,August 05 2015,4,2
com.mantz_it.rfanalyzer,Do I need to hack my phone for this application to work,August 01 2015,1,2
com.mantz_it.rfanalyzer,Pretty cool Reset the driver/itself when going from landscape to portrait and vice versa,January 24 2015,4,2
com.mantz_it.rfanalyzer,I think it would be neat if there were to be a wifi analysis tool built in which would overlay a spectrum analysis with access points and channels.,March 14 2017,5,2
com.mantz_it.rfanalyzer,Crashes with in 10 seconds I cant even use this for more then 15 seconds,December 25 2016,1,2
com.mantz_it.rfanalyzer,Crash when set a demodulation! :(,February 22 2016,2,2
com.mantz_it.rfanalyzer,This thing is great. I am at the bottom of the learning curve but in the few minutes I have played with it it seems like it will be easy to learn and to use. Just what I hoped for.,February 27 2016,5,2
com.mantz_it.rfanalyzer,looks like a great program  1 of its kind I don't have the necessary hardware to utilize it though.,March 30 2016,4,2
com.mantz_it.rfanalyzer,Unable to set sampling rate on infinix X2 with MT6753 Unable to set sampling rate on the hackrf one on phone with MT6753 processor.,December 13 2016,3,2
com.mantz_it.rfanalyzer,Definitely worth $0.99 Only $0.99! Since the developer is quickly listening to user feedback - this app is probably going to be better than SDR Touch very soon! I have two wishes - Material Design  and remove the screen orientation settings to use Android's settings. Update: one of those wishes has already come true! The logo and name of the app is missing from the top right corner  though.,December 10 2014,5,2
com.mantz_it.rfanalyzer,Works ok  have a bug it seems  switching modes am to fm the sound disappears  if u restart the app  sound is back  until i change modes again. I9505 on kitkat. Other than that its a usefull app.,January 23 2015,4,2
com.mantz_it.rfanalyzer,BLU life xl works,November 23 2016,5,2
com.mantz_it.rfanalyzer,Good job Tried a few . This has to be the most stable and best to my liking . And a whole world of settings to play with. However we are quite limited on frequency band width id like to see it lowered to 14.mhz if possible,July 19 2016,5,2
com.mantz_it.rfanalyzer,The bandwidth seemed to be limited to maximum 2 MHz or so. I tried to increase the bandwidth but not possible. I purchased this is because one of the pictures in the advertisement showed the 2.4GHz band with around 10MHz or more bandwidth. Is it not possible to increase the bandwidth? If not  it is just the same performance as other free APPs.,July 25 2016,3,2
com.mantz_it.rfanalyzer,Amazing Love the added demos now. Using mine with hackrf. Also tested with RTL. Both work perfectly! Thanks for a great implementation.,January 20 2015,5,3
com.mantz_it.rfanalyzer,Great app! Works flawlessly on my Samsung galaxy S5.,April 27 2015,5,3
com.mantz_it.rfanalyzer,Great app Works well,April 21 2015,5,3
com.mantz_it.rfanalyzer,Cool App Works great on my Galaxy Note 4 and Galaxy Tab Pro with my HackRF One. I've not yet tested with my RTL-SDR..,April 17 2015,5,3
com.mantz_it.rfanalyzer,Awesome and epic This application is awesome. This worked with my USB dongle.,March 29 2015,5,3
com.mantz_it.rfanalyzer,Awesome app Just what I've been looking for.,December 03 2014,5,3
com.mantz_it.rfanalyzer,Nexus 10 works well Great app  works well on my Nexus 10.,January 07 2015,5,3
com.mantz_it.rfanalyzer,Xperia Z Tablet Grabbed the app to play around with RTL SDR. Better signal clarity than SDR# on my laptop. Very happy so far with $15 total investment. Dongle powered up straight from the tablet. Don't have a HackRF to test.,March 11 2015,5,3
com.mantz_it.rfanalyzer,Awesome. Works well on Amiko A3  OnePlus One/CM11 using RTL-SDR. Bargain price!,March 10 2015,5,3
com.mantz_it.rfanalyzer,Excellent app Works great on my Note 8.0 and with a powered micro-usb-hub works on my Z3 compact too. Looking forward to scanning and would love to see audio recording added. Thanks :-),January 07 2015,5,3
com.mantz_it.rfanalyzer,Perfect! What a brilliant app for the price. Works perfectly on my Oneplus One with RTL-SDR dongle and otg cable.,December 05 2016,5,3
com.mantz_it.rfanalyzer,The most fun you can have with a dongle ;-) Works perfectly with my Oneplus One and a generic RTL-SDR dongle. Well worth paying a few pence for to support the author.,June 18 2015,5,3
com.mantz_it.rfanalyzer,Great app! The new version now works on my Bravia Android TV which is great as it's right by my rooftop aerial cable. The scan feature would be useful...any ETA on when this will be available? Also the option to import a list of bookmarks e.g. from a simple properties file would be useful.,October 12 2016,4,3
com.mantz_it.rfanalyzer,Works on Motorola Droid Mini. Very cool app. I would like to try and DF power line noise using this app coupled with the RTL-SDR dongle. nice job on the app!,July 16 2015,5,3
com.mantz_it.rfanalyzer,Amazing A very useful app. I originally downloaded the free version from github  but decided to buy it here as the dev deserves the money.,August 10 2015,5,3
